Title,Artist,Creation_Date,estimate_year,url,img_URL,Medium,height_cm,width_cm,Accession_number
"Pear, Plums and Knives",Samuel John Peploe,,,https://artuk.org/discover/artworks/pear-plums-and-knives-124849/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_316-001.jpg,oil on canvas,17.0,27.0,KIRMG_316
Lilies,Samuel John Peploe,,,https://artuk.org/discover/artworks/lilies-124845/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/CSF/FIFE/CSF_FIFE_KIRMG_311-001.jpg,oil on canvas,51.0,41.0,KIRMG_311
Rocks at Iona,Samuel John Peploe,,,https://artuk.org/discover/artworks/rocks-at-iona-205790/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/GMIII/MCAG/GMIII_MCAG_1944_14-001.jpg,oil on panel,32.0,39.8,1944.14
Still Life with Roses and a Mirror,Samuel John Peploe,1915–1935,1925,https://artuk.org/discover/artworks/still-life-with-roses-and-a-mirror-197488/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NTS/HDUN/NTS_CZN_99_123-001.jpg,oil on canvas,49.5,39.4,99.123
Farmyard,Samuel John Peploe,c.1901,1901,https://artuk.org/discover/artworks/farmyard-128890/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/PKA/PKC/PKA_PKC_1_181A-001.jpg,oil on panel,16.0,23.8,1_181A
Trees at Cassis,Samuel John Peploe,,,https://artuk.org/discover/artworks/trees-at-cassis-218432/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/WMRII/FWF/WMRII_FWF_PCF27-001.jpg,oil on board,66.0,77.0,FWAF_RF29
"Pink Roses, Chinese Vase",Samuel John Peploe,c.1916–1920,1918,https://artuk.org/discover/artworks/pink-roses-chinese-vase-211596/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1947-001.jpg,oil on canvas,45.7,41.0,GMA 1947
Landscape at Cassis,Samuel John Peploe,1924,1924,https://artuk.org/discover/artworks/landscape-at-cassis-211583/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_866-001.jpg,oil on canvas,55.4,45.7,GMA 866
Rocks at Barra,Samuel John Peploe,1903,1903,https://artuk.org/discover/artworks/rocks-at-barra-211579/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1935-001.jpg,oil on board,16.4,24.0,GMA 1935
Peonies,Samuel John Peploe,c.1900–1905,1902,https://artuk.org/discover/artworks/peonies-211585/view_as/grid/search/has_image:on--work_type:painting--makers:samuel-john-peploe-18711935/page/10,https://d3d00swyhr67nd.cloudfront.net/w1200h1200/collection/NGS/NGS/NGS_NGS_GMA_1946-001.jpg,oil on wood,24.0,16.3,GMA 1946
