R,G,B,freqency,id
117,84,93,0.05433871291769905,16
-82,-124,-117,0.03286412643139356,16
87,98,127,0.027916694569075202,16
39,16,22,0.01859505792540012,16
126,-117,-91,0.01853612803857229,16
-37,-76,-69,0.018104868412241345,16
-104,70,90,0.015656599477666913,16
83,34,28,0.014413714591843568,16
-65,56,31,0.012171700261166544,16
-125,79,69,0.011828835465077346,16
-90,56,31,0.011113640929485033,16
-40,104,60,0.010977030737293243,16
109,28,31,0.010162726846581397,16
-37,-58,-82,0.009002879528560905,16
-74,-126,115,0.008405544766624255,16
-110,58,57,0.007824281792004286,16
51,52,76,0.00706087189446193,16
-65,112,-124,0.00633496283399183,16
-38,103,41,0.0053974419071854286,16
107,33,51,0.0040125895667314,16
56,47,42,0.3620293129417217,17
102,91,82,0.20346136021318503,17
-105,-119,118,0.10035627389641988,17
111,95,77,0.08820240991773838,17
-112,-122,123,0.06684914841849149,17
65,52,36,0.04543216313289306,17
28,21,17,0.04542637006140656,17
-73,-118,120,0.026604680801761094,17
-43,-65,-87,0.02429903835013324,17
-128,86,71,0.01766886803383154,17
82,46,35,0.01091993975205654,17
-41,-82,-99,0.008750434480361488,17
-53,-60,-61,0.3472538410494615,18
-105,-107,-103,0.17523862998315554,18
46,44,49,0.09126895002807411,18
98,95,101,0.07492471032617018,18
-47,-61,-86,0.04721811035679649,18
-18,-25,-34,0.046306977693839006,18
21,19,25,0.0418049104180491,18
83,95,120,0.023168802000918788,18
-127,-114,-92,0.02286253892093308,18
43,48,68,0.020838650400694197,18
-93,-111,124,0.01985605635240672,18
-96,-125,-116,0.012847736205400438,18
123,-99,-119,0.011571640038793324,18
63,98,84,0.011528252769128682,18
-70,-122,113,0.010469092950844775,18
-128,81,60,0.007720381807973049,18
115,-100,123,0.007038946455004849,18
117,96,77,0.006510642642029503,18
61,44,30,0.005921086213057016,18
19,20,38,0.005681180133734878,18
120,94,106,0.0054080955540809555,18
33,62,53,0.004560767699453831,18
38,37,31,0.3352633944816662,19
24,24,22,0.27785602671404414,19
-112,-119,112,0.07779609135860607,19
100,97,73,0.07455744161654215,19
54,50,31,0.05659609992079971,19
-45,-56,-88,0.046402808399511955,19
-62,-119,109,0.03861763383778924,19
88,90,77,0.034420018408716314,19
-28,-79,-109,0.019391228032621957,19
-121,85,64,0.01827386176338378,19
-118,-120,122,0.013108718453667829,19
82,96,68,0.007716677012650641,19
46,45,49,0.2056553237207808,20
-108,-103,-98,0.1998340730179131,20
-73,-71,-68,0.18429316611776048,20
97,97,98,0.11230445216483252,20
80,95,117,0.10078495260663507,20
125,-117,-97,0.07583691461161539,20
-106,-117,111,0.03468275564302353,20
46,57,79,0.03389202948027954,20
-57,-66,-100,0.022021096071973653,20
118,107,85,0.01017149971885292,20
-122,81,70,0.007452907864085469,20
-76,122,106,0.007002319463410716,20
75,46,48,0.006068509518836854,20
55,49,43,0.2525024902431457,21
-56,-62,-74,0.15340550956090074,21
-107,-114,-125,0.12422475873218047,21
-49,-58,-80,0.11179477130586718,21
98,90,81,0.10169663123173141,21
105,89,70,0.09719623115988177,21
-98,-109,126,0.08895311811100769,21
63,54,36,0.03432126585999118,21
117,-109,-126,0.013478338966998155,21
-18,-24,-46,0.012332010646810039,21
-18,-24,-40,0.010094874181485655,21
23,19,13,0.43311783107403545,22
-50,-52,-60,0.16479944386513729,22
43,38,29,0.13360027806743136,22
46,40,23,0.05841640597844978,22
-21,-23,-33,0.03643795620437956,22
-107,-108,-119,0.03281195689954814,22
92,94,84,0.02975043448036149,22
-45,-46,-75,0.019203336809176224,22
97,91,70,0.018180048661800487,22
67,95,83,0.016992700729927007,22
-108,-112,122,0.014123044838373306,22
-76,-118,-117,0.010819603753910324,22
-84,61,40,0.008695168578380257,22
-32,-68,-67,0.00845881126173097,22
31,25,7,0.008447688564476885,22
-22,-23,-57,0.006145290232881474,22
-50,-65,-95,0.4130909797822706,23
114,98,66,0.2542457231726283,23
-98,-113,109,0.21327954898911353,23
61,50,29,0.09834758942457232,23
-90,-115,85,0.011213063763608087,23
84,49,29,0.009823094867807153,23
-46,-62,-93,0.1543941605839416,24
-99,-106,118,0.14995898505387556,24
-118,-93,-65,0.12846993395898507,24
19,14,7,0.11475286757038582,24
68,103,87,0.09243239485575253,24
118,-107,115,0.06816823079596802,24
54,42,23,0.0523239485575252,24
45,42,35,0.04696002780674313,24
106,94,71,0.041076120959332635,24
-54,-60,-66,0.03946611053180396,24
107,-115,121,0.03865415363225582,24
-100,-78,-52,0.02635245046923879,24
75,114,83,0.020421272158498437,24
34,64,50,0.019211678832116788,24
-38,-65,-124,0.007357664233576642,24
-57,-53,-51,0.19486567164179106,25
-35,-56,-86,0.1940429104477612,25
-110,-108,-108,0.10013432835820896,25
38,47,52,0.06345335820895523,25
87,97,101,0.05680597014925373,25
68,95,116,0.05486567164179104,25
13,18,23,0.05415298507462687,25
31,52,74,0.04580223880597015,25
-78,-60,-38,0.03963992537313433,25
119,-103,-113,0.03813432835820896,25
64,103,101,0.03518097014925373,25
-89,-106,127,0.021472014925373133,25
123,-114,-91,0.016375,25
28,62,60,0.013011194029850747,25
-95,-67,-83,0.012490671641791044,25
10,20,38,0.01212313432835821,25
-14,-27,-56,0.011095149253731344,25
-35,-77,-102,0.01062313432835821,25
-120,-88,-123,0.008263059701492537,25
-21,-26,-32,0.007873134328358209,25
-96,-68,-106,0.004845149253731343,25
54,98,111,0.00475,25
24,22,18,0.4957633279483037,26
39,36,31,0.2628857027463651,26
62,53,34,0.10459410339256867,26
102,92,68,0.03810177705977383,26
-103,-114,116,0.035949111470113086,26
-47,-58,-85,0.03512520193861066,26
96,90,79,0.0127140549273021,26
-47,-53,-68,0.008198707592891761,26
-108,-114,-127,0.006668012924071083,26
-50,-54,-59,0.4166363268608414,27
120,-110,-82,0.14507281553398058,27
67,102,-121,0.10395226537216828,27
-103,-103,-97,0.09609021035598705,27
20,58,87,0.043745954692556634,27
-42,-51,-73,0.030562297734627833,27
-91,-73,-51,0.02740088996763754,27
43,94,-112,0.019911003236245953,27
111,-96,-97,0.016298543689320388,27
42,100,114,0.014955501618122978,27
102,-99,-83,0.014199029126213592,27
-21,-27,-37,0.014089805825242718,27
119,-106,109,0.013383899676375405,27
-110,-68,-66,0.012427184466019418,27
-86,-117,-109,0.009441747572815533,27
49,105,104,0.009061488673139158,27
17,69,82,0.007309870550161812,27
15,62,111,0.0054611650485436895,27
-50,-54,-59,0.4166363268608414,28
120,-110,-82,0.14507281553398058,28
67,102,-121,0.10395226537216828,28
-103,-103,-97,0.09609021035598705,28
20,58,87,0.043745954692556634,28
-42,-51,-73,0.030562297734627833,28
-91,-73,-51,0.02740088996763754,28
43,94,-112,0.019911003236245953,28
111,-96,-97,0.016298543689320388,28
42,100,114,0.014955501618122978,28
102,-99,-83,0.014199029126213592,28
-21,-27,-37,0.014089805825242718,28
119,-106,109,0.013383899676375405,28
-110,-68,-66,0.012427184466019418,28
-86,-117,-109,0.009441747572815533,28
49,105,104,0.009061488673139158,28
17,69,82,0.007309870550161812,28
15,62,111,0.0054611650485436895,28
-49,-58,-62,0.22763932496075354,29
28,55,88,0.10023547880690738,29
123,-109,-81,0.08745290423861853,29
-105,-102,-95,0.0867817896389325,29
69,94,-128,0.08506671899529042,29
-22,-24,-32,0.08053375196232339,29
-33,-56,-79,0.050323783359497644,29
43,96,-104,0.04352629513343799,29
-98,-62,-35,0.042319466248037674,29
62,-110,-49,0.04173861852433281,29
19,59,109,0.02721938775510204,29
-119,-63,-38,0.027156593406593408,29
-63,-112,-104,0.02194662480376766,29
-36,-71,-74,0.020653453689167975,29
-24,-72,-90,0.01978021978021978,29
65,-95,-43,0.01314756671899529,29
19,50,109,0.010080455259026688,29
49,46,84,0.007823783359497646,29
97,-90,-55,0.006573783359497645,29
-54,-58,-65,0.44421875,30
-36,-56,-78,0.11680379746835443,30
-101,-104,-103,0.09012064873417722,30
-26,-74,-92,0.08133306962025316,30
-88,-59,-75,0.03370253164556962,30
-82,-121,-115,0.03092365506329114,30
125,-114,-89,0.026849287974683545,30
-58,-115,124,0.026578322784810128,30
-37,-73,-75,0.025284810126582277,30
-126,92,107,0.021904667721518986,30
91,103,-121,0.021257911392405064,30
-43,118,110,0.017511867088607594,30
122,-97,-106,0.016584256329113926,30
112,95,-128,0.011544699367088608,30
-81,-100,-124,0.011220332278481012,30
53,102,100,0.010921677215189874,30
-49,-113,90,0.007840189873417721,30
-77,-57,-86,0.005399525316455696,30
-37,-53,-62,0.4201471920289855,31
-26,-43,-63,0.13535552536231885,31
-15,-29,-42,0.12429347826086956,31
-15,-28,-50,0.1148233695652174,31
-98,-109,-112,0.06897871376811594,31
96,96,95,0.055251358695652175,31
68,102,96,0.03048913043478261,31
-79,-114,-113,0.02055480072463768,31
-45,-81,-82,0.016388134057971016,31
-88,-106,-123,0.0073935688405797105,31
125,95,98,0.0063247282608695655,31
50,43,42,0.378188874769743,32
-53,-58,-66,0.34275244540323296,32
-104,-105,-108,0.08798329343853739,32
91,88,87,0.07477368322546962,32
-127,-97,-110,0.01905887683836205,32
-18,-27,-38,0.013871568308756169,32
-80,82,47,0.012872720825083483,32
-44,-57,-79,0.012220613296295202,32
77,108,102,0.009474275244540323,32
59,46,31,0.008767004541111342,32
-56,-128,86,0.00765586059477723,32
-66,-120,106,0.007472640050434903,32
-126,81,62,0.006554567215343243,32
-94,-119,111,0.005092743087364678,32
110,90,72,0.004643557236718973,32
-98,-73,-89,0.004377591930415595,32
-29,-76,-101,0.004239683993813844,32
-11,-15,-11,0.22483521657250471,33
-51,-53,-44,0.1806002824858757,33
46,43,37,0.07030994978028876,33
-104,-108,-101,0.052570621468926555,33
97,93,94,0.03776522284996861,33
-26,-67,-57,0.035810577526679224,33
-120,-104,-79,0.03351067168863779,33
-77,-67,-44,0.03347536095417451,33
16,25,14,0.031254708097928435,33
4,27,10,0.03122489014438167,33
-92,65,67,0.031154268675455118,33
49,38,22,0.029759102322661643,33
121,83,89,0.028104990583804144,33
81,41,31,0.026871468926553673,33
-81,-122,-113,0.025937696170747017,33
78,45,47,0.02224419334588826,33
127,74,63,0.014474262397991211,33
-51,107,106,0.013032799748901444,33
85,98,-125,0.010617545511613308,33
23,47,36,0.010233050847457627,33
-49,115,-122,0.009530759573132454,33
-60,-125,117,0.009212962962962963,33
-43,104,73,0.007965317011927181,33
-17,-75,-94,0.007671845574387947,33
-89,65,43,0.007374450721908349,33
-75,54,71,0.005565756434400502,33
116,32,33,0.004571563088512241,33
-3,-32,-23,0.004320464532328939,33
-106,-108,-108,0.22781159420289854,34
-55,-61,-68,0.11128985507246376,34
93,97,102,0.08313123993558776,34
46,46,52,0.07781481481481481,34
78,97,118,0.06747584541062802,34
-45,-60,-94,0.05261030595813204,34
22,18,23,0.049999194847020936,34
34,54,73,0.0435829307568438,34
-98,-115,107,0.02839291465378422,34
60,104,100,0.027713365539452497,34
126,-95,122,0.027537037037037037,34
-40,107,28,0.023784219001610304,34
-53,-73,121,0.020087761674718197,34
116,-122,-102,0.018209339774557166,34
-87,-64,-101,0.017004830917874397,34
-84,-106,87,0.01640499194847021,34
106,-111,-121,0.012497584541062801,34
-79,68,41,0.011992753623188405,34
-96,69,69,0.010751207729468599,34
63,37,46,0.009948470209339774,34
23,66,64,0.008933977455716587,34
127,85,95,0.007322061191626409,34
-80,-125,-120,0.0069855072463768115,34
14,21,39,0.006500805152979066,34
-75,-122,117,0.006335748792270532,34
88,36,26,0.005899355877616747,34
45,92,105,0.0058317230273752015,34
119,103,74,0.005461352657004831,34
-124,78,63,0.004780193236714976,34
15,66,79,0.003909017713365539,34
-15,-54,-33,0.38185905224787364,35
-44,-70,-33,0.27386512758201703,35
-97,-113,-74,0.13851032806804375,35
-2,-35,-16,0.08281530984204132,35
92,96,-125,0.056331713244228435,35
-118,-121,-86,0.03350425273390036,35
109,101,-114,0.027048602673147022,35
100,105,-94,0.006065613608748481,35
9,9,8,0.32746916666666664,36
-111,-108,-113,0.22401916666666666,36
-73,-67,-71,0.20731416666666666,36
93,96,93,0.13730416666666667,36
46,46,43,0.0959375,36
73,102,94,0.007955833333333334,36
-55,-50,-44,0.17029719853836783,37
-20,-17,-14,0.14929354445797807,37
17,52,74,0.14357856272838002,37
-124,-108,-104,0.10262971985383679,37
65,96,118,0.09659439707673569,37
119,-109,-84,0.060721071863581,37
80,103,109,0.051582216808769794,37
-84,-55,-31,0.051300852618757616,37
2,18,45,0.045629719853836785,37
110,-109,-108,0.026655298416565165,37
67,104,107,0.01971376370280146,37
15,65,78,0.017135200974421436,37
47,95,109,0.01675152253349574,37
20,62,68,0.014839220462850182,37
-112,-58,-33,0.012727161997563947,37
-99,-61,-60,0.009937880633373935,37
3,15,54,0.005753958587088916,37
100,-107,-90,0.004858708891595615,37
-34,-50,-45,0.26728485202492214,38
34,51,56,0.1472614875389408,38
-9,-27,-25,0.12309774143302181,38
6,19,22,0.11847254672897196,38
77,91,96,0.09932632398753895,38
-114,-109,-105,0.053674065420560746,38
65,96,92,0.04415303738317757,38
27,57,56,0.03979653426791277,38
30,49,64,0.02685845015576324,38
-74,125,107,0.019741043613707165,38
-117,89,73,0.012404595015576324,38
77,92,112,0.011946066978193146,38
111,-117,126,0.010659073208722742,38
-32,-61,-53,0.009184190031152648,38
7,23,37,0.008924260124610593,38
-79,-117,-117,0.007215732087227414,38
-24,-59,-45,0.3243606356968215,39
91,97,-124,0.10515036674816626,39
-119,-118,-83,0.08755012224938875,39
-82,-119,-108,0.08488753056234719,39
121,87,92,0.06050122249388753,39
-50,-65,-52,0.049529339853300734,39
-112,-122,-107,0.04506601466992665,39
-105,-116,-79,0.03661980440097799,39
78,49,51,0.03075916870415648,39
-68,-74,-46,0.029383863080684598,39
62,88,-112,0.020855745721271395,39
-53,-73,-42,0.017206601466992665,39
-3,-35,-24,0.01669682151589242,39
23,60,111,0.016330073349633253,39
63,85,-106,0.015966992665036674,39
106,98,-120,0.01537041564792176,39
-127,83,72,0.013491442542787287,39
42,62,103,0.012636919315403424,39
20,57,122,0.010963325183374083,39
-77,127,116,0.006673594132029339,39
97,97,93,0.3554620758483034,40
49,45,40,0.2558053892215569,40
25,19,19,0.13001696606786428,40
-115,-121,-124,0.0899001996007984,40
103,92,72,0.05087225548902195,40
52,50,31,0.049590818363273455,40
-106,-122,112,0.023717564870259483,40
43,60,32,0.013636726546906187,40
66,90,47,0.009800399201596807,40
-67,-76,-83,0.00949001996007984,40
78,46,33,0.006276447105788423,40
38,56,39,0.005431137724550898,40
81,93,93,0.2637568306010929,41
-57,-60,-65,0.23009733606557378,41
44,56,56,0.17901212431693989,41
-119,-110,-111,0.15673241120218578,41
7,18,18,0.06904456967213114,41
-13,-21,-29,0.03657103825136612,41
30,55,47,0.02990693306010929,41
66,91,85,0.008557889344262295,41
-41,-57,-78,0.00800717213114754,41
-128,-100,-111,0.00793032786885246,41
-90,-66,-81,0.00589139344262295,41
36,50,66,0.004491974043715847,41
-50,-50,-50,0.4997637051039698,42
97,96,101,0.18665406427221173,42
-113,-109,-104,0.17402016383112792,42
-26,-26,-30,0.0706064902331443,42
64,64,68,0.015900283553875235,42
-127,-113,-90,0.013524732199117833,42
109,-112,-112,0.010104757403906742,42
88,98,119,0.008763390044108381,42
-86,-121,-123,0.008548361688720857,42
126,96,99,0.006783238815374921,42
-86,-75,-51,0.005330812854442344,42
-49,-48,-51,0.3234129456559363,43
100,94,95,0.11781758393907926,43
55,43,44,0.0977275874004846,43
-113,-114,-117,0.09575285565939771,43
-27,-25,-30,0.06496798200069229,43
71,41,44,0.0443760816891658,43
-124,80,64,0.02953963309103496,43
-39,-59,-92,0.02657061266874351,43
26,18,18,0.02533662166839737,43
115,80,81,0.025115957078573902,43
-76,-115,-117,0.02233471789546556,43
-61,-114,92,0.021624264451367257,43
-69,-117,119,0.018704569055036344,43
86,41,33,0.015117687781239184,43
48,93,124,0.01409484250605746,43
7,95,-110,0.011805988231221877,43
